,State,Vacc_Rate,Case_Rate
0,Colorado,810.0790322580647,
1,New Hampshire,52.90201612903222,
2,Florida,2018.784677419355,
3,District of Columbia,59.95,
4,Rhode Island,91.99637096774197,
5,Federated States of Micronesia,-6.231854838709678,
6,Tennessee,352.33508064516116,
7,Kentucky,254.18306451612892,
8,Oregon,227.95241935483872,
9,South Dakota,74.39516129032259,
10,Washington,340.85,
11,Alaska,9.961290322580629,
12,Dept of Defense,123.37903225806451,
13,Utah,149.72298387096774,
14,Wisconsin,617.2024193548389,
15,Missouri,36.04516129032258,
16,Idaho,95.37137096774195,
17,Vermont,61.937903225806465,
18,Marshall Islands,-2.9375000000000004,
19,Veterans Health,-194.74475806451613,
20,Indian Health Svc,-117.91451612903222,
21,Long Term Care,-2138.2987903225808,
22,Wyoming,-0.7383064516129049,
23,Alabama,116.25685483870973,
24,Bureau of Prisons,5.8133064516129025,
25,United States,26962.62741935483,
26,American Samoa,8.415322580645162,
27,Massachusetts,414.2959677419355,
28,Puerto Rico,473.978629032258,
29,Maine,179.45403225806453,
30,Pennsylvania,1939.0286290322579,
31,Texas,360.64193548387084,
32,Hawaii,43.148387096774194,
33,Minnesota,163.17338709677423,
34,Arizona,190.4508064516129,
35,Georgia,1702.0201612903224,
36,Indiana,59.482661290322575,
37,Delaware,59.47137096774194,
38,California,6460.695161290322,
39,North Dakota,9.977419354838712,
40,Mississippi,-189.62137096774194,
41,Northern Mariana Islands,4.344354838709678,
42,Kansas,380.9641129032258,
43,South Carolina,201.9141129032258,
44,Louisiana,194.8758064516129,
45,New York State,2229.55564516129,
46,New Mexico,167.18064516129036,
47,Republic of Palau,6.777822580645162,
48,Virgin Islands,15.01290322580645,
49,Illinois,850.8189516129032,
50,Connecticut,356.21209677419336,
51,Maryland,406.15483870967734,
52,Montana,23.958467741935483,
53,Virginia,524.8185483870968,
54,Nebraska,71.14637096774193,
55,Iowa,126.90282258064516,
56,Nevada,154.2479838709677,
57,North Carolina,856.2854838709684,
58,Ohio,1163.5004032258068,
59,New Jersey,684.0717741935483,
60,Oklahoma,15.245564516129031,
61,Guam,35.77540322580644,
62,Michigan,982.9604838709678,
63,West Virginia,130.4133064516129,
64,Arkansas,78.18346774193547,
